Waypoint,Description,LAT,LONG
H2100,ALT=2.31 kft takeoff,+34.910781000000,-117.886391000000
H2101,ALT=20.00 kft pattern,+35.067405195314,-117.719266576025
H2102,ALT=20.00 kft pattern,+35.067405195314,-117.280733423975
H2103,ALT=20.00 kft pattern,+35.022336686557,-117.280853816336
H2104,ALT=20.00 kft pattern,+35.022336686557,-117.719146183664
H2105,ALT=20.00 kft pattern,+34.977267842091,-117.719026058272
H2106,ALT=20.00 kft pattern,+34.977267842091,-117.280973941728
H2107,ALT=20.00 kft pattern,+34.932198662106,-117.281093800735
H2108,ALT=20.00 kft pattern,+34.932198662106,-117.718906199265
H2109,ALT=20.00 kft descent,+35.045069005825,-118.300000000000
H2110,ALT=19.79 kft descent,+35.044383935956,-118.290483869423
H2111,ALT=19.58 kft descent,+35.042349575099,-118.281257346042
H2112,ALT=19.37 kft descent,+35.039027832009,-118.272601181329
H2113,ALT=19.17 kft descent,+35.034519782794,-118.264778691193
H2114,ALT=18.96 kft descent,+35.028962582035,-118.258027718712
H2115,ALT=18.75 kft descent,+35.022525273683,-118.252553388042
H2116,ALT=18.54 kft descent,+35.015403631635,-118.248521872028
H2117,ALT=18.33 kft descent,+35.007814189582,-118.246055362796
H2118,ALT=18.12 kft descent,+34.999987644119,-118.245228395759
H2119,ALT=17.92 kft descent,+34.992161833697,-118.246065634232
H2120,ALT=17.71 kft descent,+34.984574508110,-118.248541176015
H2121,ALT=17.50 kft descent,+34.977456108677,-118.252579396238
H2122,ALT=17.29 kft descent,+34.971022777981,-118.258057294146
H2123,ALT=17.08 kft descent,+34.965469810158,-118.264808266634
H2124,ALT=16.87 kft descent,+34.960965738601,-118.272627189540
H2125,ALT=16.67 kft descent,+34.957647238130,-118.281276650048
H2126,ALT=16.46 kft descent,+34.955614993743,-118.290494140871
H2127,ALT=16.25 kft descent,+34.954930658916,-118.300000000000
H2128,ALT=16.04 kft descent,+34.955614993743,-118.309505859129
H2129,ALT=15.83 kft descent,+34.957647238130,-118.318723349953
H2130,ALT=15.62 kft descent,+34.960965738601,-118.327372810460
H2131,ALT=15.42 kft descent,+34.965469810158,-118.335191733366
H2132,ALT=15.21 kft descent,+34.971022777981,-118.341942705854
H2133,ALT=15.00 kft descent,+34.977456108677,-118.347420603762
H2134,ALT=14.79 kft descent,+34.984574508110,-118.351458823985
H2135,ALT=14.58 kft descent,+34.992161833697,-118.353934365768
H2136,ALT=14.38 kft descent,+34.999987644119,-118.354771604241
H2137,ALT=14.17 kft descent,+35.007814189582,-118.353944637204
H2138,ALT=13.96 kft descent,+35.015403631635,-118.351478127972
H2139,ALT=13.75 kft descent,+35.022525273683,-118.347446611958
H2140,ALT=13.54 kft descent,+35.028962582035,-118.341972281288
H2141,ALT=13.33 kft descent,+35.034519782794,-118.335221308807
H2142,ALT=13.12 kft descent,+35.039027832009,-118.327398818671
H2143,ALT=12.92 kft descent,+35.042349575099,-118.318742653958
H2144,ALT=12.71 kft descent,+35.044383935956,-118.309516130577
H2145,ALT=12.50 kft descent,+35.045069005825,-118.300000000000
H2146,ALT=12.29 kft descent,+35.044383935956,-118.290483869423
H2147,ALT=12.08 kft descent,+35.042349575099,-118.281257346042
H2148,ALT=11.87 kft descent,+35.039027832009,-118.272601181329
H2149,ALT=11.67 kft descent,+35.034519782794,-118.264778691193
H2150,ALT=11.46 kft descent,+35.028962582035,-118.258027718712
H2151,ALT=11.25 kft descent,+35.022525273683,-118.252553388042
H2152,ALT=11.04 kft descent,+35.015403631635,-118.248521872028
H2153,ALT=10.83 kft descent,+35.007814189582,-118.246055362796
H2154,ALT=10.62 kft descent,+34.999987644119,-118.245228395759
H2155,ALT=10.42 kft descent,+34.992161833697,-118.246065634232
H2156,ALT=10.21 kft descent,+34.984574508110,-118.248541176015
H2157,ALT=10.00 kft descent,+34.977456108677,-118.252579396238
H2158,ALT=9.79 kft descent,+34.971022777981,-118.258057294146
H2159,ALT=9.58 kft descent,+34.965469810158,-118.264808266634
H2160,ALT=9.37 kft descent,+34.960965738601,-118.272627189540
H2161,ALT=9.17 kft descent,+34.957647238130,-118.281276650048
H2162,ALT=8.96 kft descent,+34.955614993743,-118.290494140871
H2163,ALT=8.75 kft descent,+34.954930658916,-118.300000000000
H2164,ALT=8.54 kft descent,+34.955614993743,-118.309505859129
H2165,ALT=8.33 kft descent,+34.957647238130,-118.318723349953
H2166,ALT=8.12 kft descent,+34.960965738601,-118.327372810460
H2167,ALT=7.92 kft descent,+34.965469810158,-118.335191733366
H2168,ALT=7.71 kft descent,+34.971022777981,-118.341942705854
H2169,ALT=7.50 kft descent,+34.977456108677,-118.347420603762
H2170,ALT=7.29 kft descent,+34.984574508110,-118.351458823985
H2171,ALT=7.08 kft descent,+34.992161833697,-118.353934365768
H2172,ALT=6.88 kft descent,+34.999987644119,-118.354771604241
H2173,ALT=6.67 kft descent,+35.007814189582,-118.353944637204
H2174,ALT=6.46 kft descent,+35.015403631635,-118.351478127972
H2175,ALT=6.25 kft descent,+35.022525273683,-118.347446611958
H2176,ALT=6.04 kft descent,+35.028962582035,-118.341972281288
H2177,ALT=5.83 kft descent,+35.034519782794,-118.335221308807
H2178,ALT=5.62 kft descent,+35.039027832009,-118.327398818671
H2179,ALT=5.42 kft descent,+35.042349575099,-118.318742653958
H2180,ALT=5.21 kft descent,+35.044383935956,-118.309516130577
H2181,ALT=5.00 kft descent,+35.045069005825,-118.300000000000
H2182,ALT=2.31 kft,+34.910781000000,-117.886391000000
