E,WPT,FIX,LAT,LON
x,H2100,ALT=2.31 kft takeoff,N34 54.65,W117 53.18
x,H2101,ALT=20.00 kft pattern,N35 04.04,W117 43.16
x,H2102,ALT=20.00 kft pattern,N35 04.04,W117 16.84
x,H2103,ALT=20.00 kft pattern,N35 01.34,W117 16.85
x,H2104,ALT=20.00 kft pattern,N35 01.34,W117 43.15
x,H2105,ALT=20.00 kft pattern,N34 58.64,W117 43.14
x,H2106,ALT=20.00 kft pattern,N34 58.64,W117 16.86
x,H2107,ALT=20.00 kft pattern,N34 55.93,W117 16.87
x,H2108,ALT=20.00 kft pattern,N34 55.93,W117 43.13
x,H2109,ALT=20.00 kft descent,N35 02.70,W118 18.00
x,H2110,ALT=19.79 kft descent,N35 02.66,W118 17.43
x,H2111,ALT=19.58 kft descent,N35 02.54,W118 16.88
x,H2112,ALT=19.37 kft descent,N35 02.34,W118 16.36
x,H2113,ALT=19.17 kft descent,N35 02.07,W118 15.89
x,H2114,ALT=18.96 kft descent,N35 01.74,W118 15.48
x,H2115,ALT=18.75 kft descent,N35 01.35,W118 15.15
x,H2116,ALT=18.54 kft descent,N35 00.92,W118 14.91
x,H2117,ALT=18.33 kft descent,N35 00.47,W118 14.76
x,H2118,ALT=18.12 kft descent,N34 60.00,W118 14.71
x,H2119,ALT=17.92 kft descent,N34 59.53,W118 14.76
x,H2120,ALT=17.71 kft descent,N34 59.07,W118 14.91
x,H2121,ALT=17.50 kft descent,N34 58.65,W118 15.15
x,H2122,ALT=17.29 kft descent,N34 58.26,W118 15.48
x,H2123,ALT=17.08 kft descent,N34 57.93,W118 15.89
x,H2124,ALT=16.87 kft descent,N34 57.66,W118 16.36
x,H2125,ALT=16.67 kft descent,N34 57.46,W118 16.88
x,H2126,ALT=16.46 kft descent,N34 57.34,W118 17.43
x,H2127,ALT=16.25 kft descent,N34 57.30,W118 18.00
x,H2128,ALT=16.04 kft descent,N34 57.34,W118 18.57
x,H2129,ALT=15.83 kft descent,N34 57.46,W118 19.12
x,H2130,ALT=15.62 kft descent,N34 57.66,W118 19.64
x,H2131,ALT=15.42 kft descent,N34 57.93,W118 20.11
x,H2132,ALT=15.21 kft descent,N34 58.26,W118 20.52
x,H2133,ALT=15.00 kft descent,N34 58.65,W118 20.85
x,H2134,ALT=14.79 kft descent,N34 59.07,W118 21.09
x,H2135,ALT=14.58 kft descent,N34 59.53,W118 21.24
x,H2136,ALT=14.38 kft descent,N34 60.00,W118 21.29
x,H2137,ALT=14.17 kft descent,N35 00.47,W118 21.24
x,H2138,ALT=13.96 kft descent,N35 00.92,W118 21.09
x,H2139,ALT=13.75 kft descent,N35 01.35,W118 20.85
x,H2140,ALT=13.54 kft descent,N35 01.74,W118 20.52
x,H2141,ALT=13.33 kft descent,N35 02.07,W118 20.11
x,H2142,ALT=13.12 kft descent,N35 02.34,W118 19.64
x,H2143,ALT=12.92 kft descent,N35 02.54,W118 19.12
x,H2144,ALT=12.71 kft descent,N35 02.66,W118 18.57
x,H2145,ALT=12.50 kft descent,N35 02.70,W118 18.00
x,H2146,ALT=12.29 kft descent,N35 02.66,W118 17.43
x,H2147,ALT=12.08 kft descent,N35 02.54,W118 16.88
x,H2148,ALT=11.87 kft descent,N35 02.34,W118 16.36
x,H2149,ALT=11.67 kft descent,N35 02.07,W118 15.89
x,H2150,ALT=11.46 kft descent,N35 01.74,W118 15.48
x,H2151,ALT=11.25 kft descent,N35 01.35,W118 15.15
x,H2152,ALT=11.04 kft descent,N35 00.92,W118 14.91
x,H2153,ALT=10.83 kft descent,N35 00.47,W118 14.76
x,H2154,ALT=10.62 kft descent,N34 60.00,W118 14.71
x,H2155,ALT=10.42 kft descent,N34 59.53,W118 14.76
x,H2156,ALT=10.21 kft descent,N34 59.07,W118 14.91
x,H2157,ALT=10.00 kft descent,N34 58.65,W118 15.15
x,H2158,ALT=9.79 kft descent,N34 58.26,W118 15.48
x,H2159,ALT=9.58 kft descent,N34 57.93,W118 15.89
x,H2160,ALT=9.37 kft descent,N34 57.66,W118 16.36
x,H2161,ALT=9.17 kft descent,N34 57.46,W118 16.88
x,H2162,ALT=8.96 kft descent,N34 57.34,W118 17.43
x,H2163,ALT=8.75 kft descent,N34 57.30,W118 18.00
x,H2164,ALT=8.54 kft descent,N34 57.34,W118 18.57
x,H2165,ALT=8.33 kft descent,N34 57.46,W118 19.12
x,H2166,ALT=8.12 kft descent,N34 57.66,W118 19.64
x,H2167,ALT=7.92 kft descent,N34 57.93,W118 20.11
x,H2168,ALT=7.71 kft descent,N34 58.26,W118 20.52
x,H2169,ALT=7.50 kft descent,N34 58.65,W118 20.85
x,H2170,ALT=7.29 kft descent,N34 59.07,W118 21.09
x,H2171,ALT=7.08 kft descent,N34 59.53,W118 21.24
x,H2172,ALT=6.88 kft descent,N34 60.00,W118 21.29
x,H2173,ALT=6.67 kft descent,N35 00.47,W118 21.24
x,H2174,ALT=6.46 kft descent,N35 00.92,W118 21.09
x,H2175,ALT=6.25 kft descent,N35 01.35,W118 20.85
x,H2176,ALT=6.04 kft descent,N35 01.74,W118 20.52
x,H2177,ALT=5.83 kft descent,N35 02.07,W118 20.11
x,H2178,ALT=5.62 kft descent,N35 02.34,W118 19.64
x,H2179,ALT=5.42 kft descent,N35 02.54,W118 19.12
x,H2180,ALT=5.21 kft descent,N35 02.66,W118 18.57
x,H2181,ALT=5.00 kft descent,N35 02.70,W118 18.00
x,H2182,ALT=2.31 kft,N34 54.65,W117 53.18
